entry,name,subname,included_spawn_count,primary_category,participation_mode,role_or_profession,unique_named,identity_status,review_status,classification_basis,notes
5917,Clara Charles,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
6093,Dead-Tooth Jack,,1,COMBATANT,FULL_AGENT,bandit,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,"humanoid + current hostile faction/name evidence; role/category from ROLE_OVERRIDES, not the heuristic itself (see AIWorld_Current_Roadmap.md)",
6121,Remen Marcot,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
6172,Henze Faulk,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_MANUAL,remaining permanent humanoid,Dead quest NPC accepted as normal Alliance-aligned civilian for 3.1; quest role is ignored and final faction assignment belongs to 3.3.
6306,Helene Peltskinner,Skinning Trainer,1,TRAINER,FULL_AGENT,Skinning Trainer,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore trainer NPC flag/subname,
6367,Donni Anthania,Crazy Cat Lady,1,MERCHANT_VENDOR,FULL_AGENT,Crazy Cat Lady,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore vendor/repair NPC flag,
6368,Cat,,9,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,GENERIC,ACCEPTED_DEFAULT,beast/critter/non-combat-pet permanent population,
6373,Dane Winslow,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
6374,Cylina Darkheart,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
6491,Spirit Healer,,4,SPECIAL_SCRIPTED,VANILLA_ONLY,spirit_healer,NO,TECHNICAL,ACCEPTED_DEFAULT,TrinityCore spirit healer/guide NPC flag,
6749,Erma,Stable Master,1,CIVILIAN,FULL_AGENT,Stable Master,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
6774,Falkhaan Isenstrider,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_MANUAL,remaining permanent humanoid,Accepted as normal Alliance-aligned civilian for 3.1; final faction assignment belongs to 3.3.
6778,Melika Isenstrider,Assistant Innkeeper,1,CIVILIAN,FULL_AGENT,Assistant Innkeeper,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
6846,Defias Dockmaster,,1,CIVILIAN,FULL_AGENT,overseer,NO,GENERIC,ACCEPTED_MANUAL,"humanoid + current hostile faction/name evidence; role/category from ROLE_OVERRIDES, not the heuristic itself (see AIWorld_Current_Roadmap.md)","Single-spawn template name is a generic role title (Defias Dockmaster), not a personal name; identity audit overrides the single-spawn default unique_named=YES to NO."
6927,Defias Dockworker,,3,CIVILIAN,FULL_AGENT,worker,NO,GENERIC,ACCEPTED_DEFAULT,"humanoid + current hostile faction/name evidence; role/category from ROLE_OVERRIDES, not the heuristic itself (see AIWorld_Current_Roadmap.md)",
7381,Silver Tabby Cat,,1,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,GENERIC,ACCEPTED_DEFAULT,beast/critter/non-combat-pet permanent population,
7382,Orange Tabby Cat,,1,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,GENERIC,ACCEPTED_DEFAULT,beast/critter/non-combat-pet permanent population,
7384,Cornish Rex Cat,,1,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,GENERIC,ACCEPTED_DEFAULT,beast/critter/non-combat-pet permanent population,
7385,Bombay Cat,,1,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,GENERIC,ACCEPTED_DEFAULT,beast/critter/non-combat-pet permanent population,
9296,Milly Osworth,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
10616,Supervisor Raelen,,1,WORKER_FARMER,FULL_AGENT,supervisor,YES,UNIQUE_NAMED,ACCEPTED_MANUAL,worker/farmer role in name,Accepted as Alliance-aligned worker/supervisor for 3.1; final faction assignment belongs to 3.3.
11072,Kitta Firewind,Enchanting Trainer,1,TRAINER,FULL_AGENT,Enchanting Trainer,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore trainer NPC flag/subname,
11260,Northshire Peasant,,5,WORKER_FARMER,FULL_AGENT,worker,NO,GENERIC,ACCEPTED_DEFAULT,worker/farmer role in name,
11328,Eastvale Peasant,,5,WORKER_FARMER,FULL_AGENT,worker,NO,GENERIC,ACCEPTED_DEFAULT,worker/farmer role in name,
11940,Merissa Stilwell,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
11979,Kim Bridenbecker,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
11994,Rob Bridenbecker,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
11996,Ashley Bridenbecker,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
12375,Chestnut Mare,,1,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,domestic_mount,NO,GENERIC,ACCEPTED_DEFAULT,beast/critter/non-combat-pet permanent population,
12376,Brown Horse,,1,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,domestic_mount,NO,GENERIC,ACCEPTED_DEFAULT,beast/critter/non-combat-pet permanent population,
12423,Guard Roberts,,1,GUARD,FULL_AGENT,guard,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,guard/marshal/deputy/sergeant role in name,
13159,James Clark,,1,COMBATANT,FULL_AGENT,bandit,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,"humanoid + current hostile faction/name evidence; role/category from ROLE_OVERRIDES, not the heuristic itself (see AIWorld_Current_Roadmap.md)",
13321,Frog,,234,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,GENERIC,ACCEPTED_DEFAULT,beast/critter/non-combat-pet permanent population,
14388,Rogue Black Drake,,3,PREDATOR,FULL_AGENT,predator,NO,GENERIC,ACCEPTED_MANUAL,predatory creature name/current faction evidence,Accepted as PREDATOR/beast for 3.1; underlying placement anomaly is deferred.
14390,Expeditionary Mountaineer,,1,TRAVELER,FULL_AGENT,traveler,NO,GENERIC,ACCEPTED_MANUAL,travel/expedition role in name,"Single-spawn template name is a generic archetype title (Expeditionary Mountaineer), not a personal name; identity audit overrides the single-spawn default unique_named=YES to NO."
14393,Expeditionary Priest,,1,TRAVELER,FULL_AGENT,traveler,NO,GENERIC,ACCEPTED_MANUAL,travel/expedition role in name,"Single-spawn template name is a generic archetype title (Expeditionary Priest), not a personal name; identity audit overrides the single-spawn default unique_named=YES to NO."
14559,Swift Palomino,,1,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,domestic_mount,NO,GENERIC,ACCEPTED_DEFAULT,beast/critter/non-combat-pet permanent population,
14560,Swift White Steed,,1,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,domestic_mount,NO,GENERIC,ACCEPTED_DEFAULT,beast/critter/non-combat-pet permanent population,
14561,Swift Brown Steed,,1,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,domestic_mount,NO,GENERIC,ACCEPTED_DEFAULT,beast/critter/non-combat-pet permanent population,
22985,Bradford Bridenbecker,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
